period,quarter,year,price_to_earning,price_to_book,roe,earning_per_share,equity_on_liability,asset_on_equity,equity_on_total_asset,roa,payable_on_equity,book_value_per_share_change,eps_change,book_value_per_share,company
2018-Q3,3,2018,13.2,1.4,0.117,1599.0,0.1,16.8,0.06,0.007,15.8,0.028,-0.01,14548.0,CTG
2018-Q2,2,2018,11.5,1.3,0.122,1615.0,0.1,16.8,0.06,0.007,15.8,0.028,-0.008,14158.0,CTG
2018-Q1,1,2018,16.2,1.9,0.126,1629.0,0.1,16.8,0.059,0.007,15.8,0.039,0.053,13769.0,CTG
2017-Q4,4,2017,12.0,1.4,0.118,1546.0,0.1,17.2,0.058,0.007,16.2,0.023,0.002,13251.0,CTG
2017-Q3,3,2017,9.2,1.1,0.121,1543.0,0.1,17.1,0.059,0.008,16.1,0.032,0.024,12959.0,CTG
2017-Q2,2,2017,9.9,1.2,0.121,1506.0,0.1,17.2,0.058,0.008,16.2,0.032,0.056,12551.0,CTG
2017-Q1,1,2017,9.3,1.1,0.118,1426.0,0.1,16.9,0.059,0.008,15.9,-0.072,0.017,12165.0,CTG
2016-Q4,4,2016,7.6,0.8,0.114,1403.0,0.1,15.1,0.066,0.008,14.1,0.027,0.049,13103.0,CTG
2016-Q3,3,2016,8.9,0.9,0.11,1338.0,0.1,14.7,0.068,0.008,13.7,0.03,0.058,12755.0,CTG
2016-Q2,2,2016,9.4,1.0,0.107,1264.0,0.1,14.3,0.07,0.008,13.3,0.026,-0.046,12383.0,CTG
2016-Q1,1,2016,8.7,1.0,0.112,1325.0,0.1,13.6,0.073,0.009,12.6,0.038,0.118,12072.0,CTG
2015-Q4,4,2015,11.1,1.1,0.103,1185.0,0.1,14.0,0.072,0.008,12.9,0.004,-0.034,11625.0,CTG
2015-Q3,3,2015,11.3,1.2,0.107,1226.0,0.1,12.8,0.078,0.009,11.8,0.024,0.031,11582.0,CTG
2015-Q2,2,2015,11.4,1.2,0.106,1190.0,0.1,12.6,0.079,0.009,11.6,-0.035,-0.017,11312.0,CTG
2015-Q1,1,2015,9.6,1.0,0.104,1211.0,0.1,11.5,0.087,0.01,10.5,0.024,0.019,11716.0,CTG
